latitude,longitude,accommodates,bathrooms,amenities_count,price,minimum_nights,maximum_nights,availability_365,number_of_reviews_ltm,review_scores_rating,bedrooms,host_is_superhost_false,host_is_superhost_true,Entire home/apt,Hotel room,Private room,Shared room,Exempt,Mobility lease only,Unlicensed,licensed,bathrooms_ratio,1er Arrondissement,2e Arrondissement,3e Arrondissement,4e Arrondissement,5e Arrondissement,6e Arrondissement,7e Arrondissement,8e Arrondissement,9e Arrondissement
45.76487,4.86761,1.0986122886681098,1.0986122886681098,20,3.9318256327243257,2,15,248,0.0,4.84,0.6931471805599453,1,0,1,0,0,0,1,0,0,0,1.0,0,0,0,0,0,1,0,0,0
45.769253,4.829836,1.791759469228055,1.0986122886681098,56,5.081404364984463,2,28,0,1.791759469228055,4.58,1.3862943611198906,1,0,1,0,0,0,0,0,0,1,0.6131471927654585,1,0,0,0,0,0,0,0,0
45.76489,4.8314,1.3862943611198906,1.0986122886681098,52,4.941642422609304,4,1125,111,0.0,4.9,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,0.7924812503605781,0,1,0,0,0,0,0,0,0
45.74275,4.83755,1.0986122886681098,1.0986122886681098,8,3.258096538021482,4,14,0,0.0,4.83,0.6931471805599453,1,0,0,0,1,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,0
45.76903,4.83281,1.0986122886681098,1.0986122886681098,38,4.2626798770413155,4,1125,19,0.6931471805599453,4.47,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0
45.76648,4.84947,1.6094379124341003,1.0986122886681098,56,4.997212273764115,1,1125,291,3.091042453358316,4.81,1.0986122886681098,0,1,1,0,0,0,0,0,0,1,0.6826061944859854,0,0,0,0,0,1,0,0,0
45.75793,4.825,1.0986122886681098,1.0986122886681098,23,4.634728988229636,365,1125,365,0.0,4.64,1.0986122886681098,0,1,1,0,0,0,0,0,1,0,1.0,0,0,0,0,1,0,0,0,0
45.74342,4.88471,1.6094379124341003,1.0986122886681098,34,4.663439094112067,3,15,0,0.0,4.91,1.0986122886681098,1,0,1,0,0,0,0,0,0,1,0.6826061944859854,0,0,1,0,0,0,0,0,0
45.74071,4.84146,1.9459101490553132,1.3862943611198906,43,4.948759890378168,3,20,0,2.3978952727983707,4.94,1.6094379124341003,0,1,1,0,0,0,0,0,0,1,0.7124143742160444,0,0,0,0,0,0,1,0,0
45.75293,4.83113,1.0986122886681098,1.0986122886681098,4,4.51085950651685,1,1125,0,0.0,4.85,0.6931471805599453,1,0,0,0,1,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0
45.7486,4.81133,1.9459101490553132,1.0986122886681098,20,4.2626798770413155,2,40,89,0.0,4.85,0.6931471805599453,1,0,1,0,0,0,0,0,1,0,0.5645750340535797,0,0,0,0,1,0,0,0,0
45.75158,4.84516,1.6094379124341003,1.0986122886681098,37,3.970291913552122,28,1125,116,1.3862943611198906,4.39,0.0,1,0,1,0,0,0,0,0,0,1,0.6826061944859854,0,0,0,0,0,0,1,0,0
45.73417,4.82761,1.0986122886681098,1.0986122886681098,32,3.912023005428146,28,1124,256,0.0,4.57,0.0,1,0,1,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,1,0,0
45.75158,4.84516,1.0986122886681098,1.0986122886681098,28,3.912023005428146,28,1124,169,1.3862943611198906,4.45,0.0,1,0,1,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,1,0,0
45.73096,4.86915,1.0986122886681098,1.0986122886681098,41,4.2626798770413155,2,150,298,1.9459101490553132,4.92,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,1,0
45.76224,4.86281,1.0986122886681098,1.0986122886681098,35,4.23410650459726,1,150,1,1.6094379124341003,4.81,0.0,1,0,1,0,0,0,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0
45.75298,4.84133,1.0986122886681098,1.0986122886681098,33,4.532599493153256,4,15,48,2.833213344056216,4.7,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,1,0,0
45.77286,4.83128,2.1972245773362196,1.3862943611198906,62,4.948759890378168,2,1125,0,0.0,4.75,1.6094379124341003,1,0,1,0,0,0,0,0,0,1,0.6309297535714574,1,0,0,0,0,0,0,0,0
45.77486,4.83469,1.3862943611198906,1.0986122886681098,13,4.2626798770413155,2,10,293,3.2188758248682006,4.8,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,0.7924812503605781,0,0,0,1,0,0,0,0,0
45.76792,4.82914,1.0986122886681098,1.0986122886681098,28,4.248495242049359,3,120,227,3.4339872044851463,4.39,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0
45.76289,4.85319,1.6094379124341003,1.0986122886681098,29,4.110873864173311,28,1124,214,1.3862943611198906,4.74,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,0.6826061944859854,0,0,1,0,0,0,0,0,0
45.76188278198242,4.849833011627197,1.0986122886681098,1.0986122886681098,43,4.382026634673881,3,1125,243,2.0794415416798357,4.86,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0
45.76037,4.82485,2.1972245773362196,1.3862943611198906,60,5.683579767338681,2,1125,305,2.995732273553991,4.79,1.3862943611198906,1,0,1,0,0,0,0,0,0,1,0.6309297535714574,0,0,0,0,1,0,0,0,0
45.74075,4.86306,1.0986122886681098,1.0986122886681098,45,4.418840607796598,3,300,102,2.995732273553991,4.79,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,0,1,0
45.73983,4.85174,1.0986122886681098,1.0986122886681098,36,4.174387269895637,3,14,344,0.0,4.61,0.0,0,1,1,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,1,0,0
45.76947,4.8627,1.6094379124341003,1.0986122886681098,27,4.532599493153256,2,1125,307,2.995732273553991,4.68,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,0.6826061944859854,0,0,0,0,0,1,0,0,0
45.75284,4.85566,1.9459101490553132,1.0986122886681098,52,5.081404364984463,3,1125,0,0.0,4.56,1.0986122886681098,1,0,1,0,0,0,0,0,0,1,0.5645750340535797,0,0,1,0,0,0,0,0,0
45.73983,4.85174,1.0986122886681098,1.0986122886681098,34,4.1588830833596715,4,12,168,2.0794415416798357,4.7,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,1,0,0
45.75598,4.8407,1.9459101490553132,1.3862943611198906,57,5.075173815233827,4,20,0,0.0,4.64,1.3862943611198906,1,0,1,0,0,0,0,0,0,1,0.7124143742160444,0,0,0,0,0,0,1,0,0
45.75325,4.84327,1.6094379124341003,1.0986122886681098,10,4.07753744390572,5,180,249,0.0,4.39,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,0.6826061944859854,0,0,0,0,0,0,1,0,0
45.76751,4.83323,1.0986122886681098,1.0986122886681098,19,4.330733340286331,365,365,278,3.7376696182833684,4.89,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0
45.757275,4.809105,1.0986122886681098,1.0986122886681098,59,3.4339872044851463,1,1125,0,4.04305126783455,4.89,0.6931471805599453,1,0,0,0,1,0,0,0,1,0,1.0,0,0,0,0,1,0,0,0,0
45.76783,4.83317,1.0986122886681098,1.0986122886681098,29,4.204692619390966,4,1000,0,0.6931471805599453,4.7,0.0,0,1,1,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0
45.76916,4.83597,1.3862943611198906,1.0986122886681098,27,4.330733340286331,200,1125,297,0.6931471805599453,4.68,1.0986122886681098,0,1,1,0,0,0,0,0,0,1,0.7924812503605781,1,0,0,0,0,0,0,0,0
45.77903,4.83505,1.0986122886681098,1.0986122886681098,5,3.828641396489095,2,1125,0,3.8501476017100584,4.79,0.6931471805599453,0,1,0,0,1,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0
45.77039,4.82874,1.0986122886681098,1.0986122886681098,25,4.51085950651685,2,1125,57,0.6931471805599453,5.0,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0
45.76912,4.83291,1.0986122886681098,1.0986122886681098,6,4.0943445622221,365,1125,0,0.0,4.49,0.6931471805599453,1,0,1,0,0,0,0,0,1,0,1.0,1,0,0,0,0,0,0,0,0
45.76601,4.83299,1.6094379124341003,1.0986122886681098,19,4.2626798770413155,365,1125,165,0.0,4.49,0.6931471805599453,1,0,1,0,0,0,0,0,1,0,0.6826061944859854,1,0,0,0,0,0,0,0,0
45.7723,4.83474,1.0986122886681098,1.0986122886681098,44,4.394449154672439,21,300,255,1.791759469228055,4.76,0.6931471805599453,0,1,1,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,0,0,0
45.76601,4.83299,0.6931471805599453,1.0986122886681098,12,3.332204510175204,3,7,159,0.0,4.65,0.6931471805599453,1,0,0,0,0,1,0,0,1,0,1.5849625007211563,1,0,0,0,0,0,0,0,0
45.74947,4.88866,1.0986122886681098,1.0986122886681098,17,3.828641396489095,2,8,0,0.0,4.94,1.3862943611198906,1,0,0,0,1,0,0,0,1,0,1.0,0,0,1,0,0,0,0,0,0
45.77497,4.83743,1.6094379124341003,1.3862943611198906,18,5.081404364984463,2,1125,0,1.3862943611198906,4.79,1.0986122886681098,1,0,1,0,0,0,0,0,0,1,0.8613531161467861,0,0,0,1,0,0,0,0,0
45.74863,4.84389,1.6094379124341003,1.0986122886681098,15,4.2626798770413155,365,1125,0,0.0,5.0,1.0986122886681098,1,0,1,0,0,0,0,0,1,0,0.6826061944859854,0,0,0,0,0,0,1,0,0
45.76257,4.85227,1.0986122886681098,1.0986122886681098,21,4.330733340286331,2,15,0,0.0,4.87,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0
45.76055,4.82839,1.0986122886681098,1.0986122886681098,20,4.343805421853684,2,1125,160,4.5217885770490405,4.8,0.6931471805599453,1,0,1,0,0,0,0,0,0,1,1.0,0,0,0,0,1,0,0,0,0
45.77208,4.83472,1.9459101490553132,1.0986122886681098,46,4.605170185988092,2,1125,353,2.4849066497880004,4.67,1.0986122886681098,1,0,1,0,0,0,0,0,0,1,0.5645750340535797,1,0,0,0,0,0,0,0,0
45.7401912,4.8383463,1.0986122886681098,1.0986122886681098,32,3.970291913552122,3,7,153,1.3862943611198906,5.0,0.6931471805599453,1,0,0,0,1,0,0,0,1,0,1.0,0,0,0,0,0,0,1,0,0
45.75161,4.82727,1.0986122886681098,1.0986122886681098,12,3.713572066704308,1,2,46,0.0,4.45,0.6931471805599453,1,0,0,0,1,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0
